duty,voltage,current,power
0.0,10.0254,0.00091,0.00914
1.0,9.5942,0.00097,0.00929
2.0,7.1148,0.00093,0.00663
3.0,4.5815,0.00083,0.0038
4.0,2.9106,0.00073,0.00213
5.0,2.9645,0.00101,0.003
6.0,2.8567,0.00129,0.00368
7.0,2.4794,0.00144,0.00357
8.0,2.6411,0.00193,0.0051
9.0,2.8028,0.00253,0.00708
10.0,2.7489,0.003,0.00824
11.0,2.5872,0.00337,0.00871
12.0,2.5333,0.00388,0.00982
13.0,2.6411,0.0047,0.01242
14.0,2.3716,0.00486,0.01154
15.0,2.2099,0.00517,0.01143
16.0,1.7787,0.00472,0.00839
17.0,1.8865,0.00562,0.01061
18.0,2.0482,0.00682,0.01397
19.0,2.1021,0.00778,0.01635
20.0,1.9943,0.00816,0.01627
21.0,1.8326,0.00825,0.01512
22.0,1.8865,0.0093,0.01755
23.0,1.8865,0.01015,0.01915
24.0,1.617,0.00946,0.0153
25.0,1.8865,0.01196,0.02257
26.0,1.617,0.01108,0.01791
27.0,1.8326,0.01353,0.02479
28.0,1.5092,0.01197,0.01806
29.0,1.4553,0.01237,0.018
30.0,1.1319,0.01029,0.01165
31.0,1.5631,0.01516,0.0237
32.0,1.078,0.01114,0.01201
33.0,1.2936,0.0142,0.01838
34.0,1.1858,0.01382,0.01638
35.0,1.4553,0.01796,0.02614
36.0,1.078,0.01407,0.01517
37.0,1.1319,0.0156,0.01766
38.0,1.0241,0.01488,0.01524
39.0,1.2397,0.01897,0.02352
40.0,1.0241,0.01648,0.01688
41.0,0.8624,0.01458,0.01257
42.0,0.8085,0.01434,0.01159
43.0,0.8624,0.01602,0.01382
44.0,0.7546,0.01468,0.01108
45.0,0.8085,0.01645,0.0133
46.0,0.8085,0.01718,0.01389
47.0,0.9163,0.02032,0.01862
48.0,0.6468,0.01496,0.00968
49.0,0.7007,0.01689,0.01183
50.0,0.5929,0.01488,0.00882
51.0,0.7007,0.01829,0.01282
52.0,0.6468,0.01755,0.01135
53.0,0.7546,0.02127,0.01605
54.0,0.539,0.01577,0.0085
55.0,0.539,0.01635,0.00881
56.0,0.4851,0.01526,0.0074
57.0,0.4851,0.0158,0.00767
58.0,0.3234,0.01091,0.00353
59.0,0.3773,0.01317,0.00497
60.0,0.3234,0.01167,0.00377
61.0,0.2695,0.01005,0.00271
62.0,0.3234,0.01246,0.00403
63.0,0.3234,0.01287,0.00416
64.0,0.2156,0.00885,0.00191
65.0,0.2156,0.00913,0.00197
66.0,0.2156,0.00941,0.00203
67.0,0.2695,0.01212,0.00327
68.0,0.1617,0.00749,0.00121
69.0,0.1078,0.00514,0.00055
70.0,0.1078,0.00529,0.00057
71.0,0.1617,0.00817,0.00132
72.0,0.0539,0.0028,0.00015
73.0,0.1078,0.00575,0.00062
74.0,0.0539,0.00296,0.00016
75.0,0.1078,0.00607,0.00065
76.0,0.0539,0.00312,0.00017
77.0,0.0539,0.0032,0.00017
78.0,0.0,0.0,0.0
79.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0
81.0,0.0,0.0,0.0
82.0,0.0,0.0,0.0
83.0,0.0,0.0,0.0
84.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0
86.0,0.0,0.0,0.0
87.0,0.0,0.0,0.0
88.0,0.0,0.0,0.0
89.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0
0.0,9.5942,0.00087,0.00837
1.0,9.163,0.00092,0.00847
2.0,6.6297,0.00087,0.00575
3.0,3.773,0.00068,0.00258
4.0,2.4255,0.00061,0.00148
5.0,2.6411,0.0009,0.00238
6.0,2.2638,0.00102,0.00231
7.0,2.5333,0.00147,0.00373
8.0,2.2099,0.00162,0.00357
9.0,2.6411,0.00238,0.00628
10.0,2.156,0.00235,0.00507
11.0,2.3716,0.00309,0.00732
12.0,2.156,0.0033,0.00712
13.0,2.0482,0.00365,0.00747
14.0,2.2099,0.00453,0.01002
15.0,2.1021,0.00492,0.01034
16.0,2.156,0.00572,0.01232
17.0,1.9943,0.00594,0.01186
18.0,1.9943,0.00664,0.01325
19.0,1.9404,0.00718,0.01393
20.0,1.7787,0.00728,0.01294
21.0,1.7787,0.00801,0.01424
22.0,1.5092,0.00744,0.01123
23.0,1.617,0.0087,0.01407
24.0,1.4553,0.00851,0.01239
25.0,1.4553,0.00923,0.01343
26.0,1.4553,0.00997,0.01451
27.0,1.2397,0.00915,0.01134
28.0,1.2397,0.00983,0.01219
29.0,1.2936,0.011,0.01423
30.0,1.3475,0.01225,0.01651
31.0,1.078,0.01046,0.01127
32.0,1.2397,0.01281,0.01588
33.0,1.1858,0.01302,0.01544
34.0,1.078,0.01256,0.01354
35.0,1.1858,0.01463,0.01735
36.0,1.3475,0.01759,0.0237
37.0,1.0241,0.01411,0.01445
38.0,0.9702,0.0141,0.01368
39.0,1.0241,0.01567,0.01605
40.0,0.8624,0.01388,0.01197
41.0,0.9702,0.0164,0.01591
42.0,0.7546,0.01338,0.0101
43.0,0.7007,0.01302,0.00912
44.0,0.7546,0.01468,0.01108
45.0,0.7007,0.01425,0.00999
46.0,0.7007,0.01489,0.01043
47.0,0.6468,0.01435,0.00928
48.0,0.5929,0.01371,0.00813
49.0,0.5929,0.01429,0.00847
50.0,0.5929,0.01488,0.00882
51.0,0.5929,0.01548,0.00918
52.0,0.4851,0.01316,0.00638
53.0,0.539,0.01519,0.00819
54.0,0.539,0.01577,0.0085
55.0,0.4312,0.01308,0.00564
56.0,0.4312,0.01356,0.00585
57.0,0.4312,0.01405,0.00606
58.0,0.3773,0.01273,0.0048
59.0,0.3234,0.01129,0.00365
60.0,0.3234,0.01167,0.00377
61.0,0.3234,0.01206,0.0039
62.0,0.3234,0.01246,0.00403
63.0,0.2156,0.00858,0.00185
64.0,0.2695,0.01106,0.00298
65.0,0.1617,0.00685,0.00111
66.0,0.2156,0.00941,0.00203
67.0,0.2156,0.0097,0.00209
68.0,0.1617,0.00749,0.00121
69.0,0.1617,0.00771,0.00125
70.0,0.1078,0.00529,0.00057
71.0,0.0539,0.00272,0.00015
72.0,0.0539,0.0028,0.00015
73.0,0.0539,0.00288,0.00016
74.0,0.0539,0.00296,0.00016
75.0,0.0539,0.00304,0.00016
76.0,0.0539,0.00312,0.00017
77.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0
79.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0
81.0,0.0,0.0,0.0
82.0,0.0,0.0,0.0
83.0,0.0,0.0,0.0
84.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0
86.0,0.0,0.0,0.0
87.0,0.0,0.0,0.0
88.0,0.0,0.0,0.0
89.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0
0.0,9.2169,0.00084,0.00772
1.0,8.7318,0.00088,0.00769
2.0,5.929,0.00078,0.0046
3.0,2.9645,0.00054,0.00159
4.0,2.695,0.00068,0.00182
5.0,2.5872,0.00088,0.00228
6.0,2.5333,0.00114,0.00289
7.0,2.3177,0.00135,0.00312
8.0,2.3716,0.00173,0.00411
9.0,2.3716,0.00214,0.00507
10.0,2.2638,0.00247,0.00559
11.0,2.3177,0.00302,0.00699
12.0,1.8865,0.00289,0.00545
13.0,2.1021,0.00374,0.00787
14.0,1.9404,0.00398,0.00772
15.0,1.9404,0.00454,0.00881
16.0,1.7787,0.00472,0.00839
17.0,1.9404,0.00578,0.01122
18.0,1.6709,0.00557,0.0093
19.0,1.617,0.00598,0.00968
20.0,1.7248,0.00706,0.01217
21.0,1.617,0.00728,0.01177
22.0,1.617,0.00797,0.01289
23.0,1.4014,0.00754,0.01057
24.0,1.078,0.00631,0.0068
25.0,1.1319,0.00718,0.00812
26.0,1.1858,0.00812,0.00963
27.0,1.078,0.00796,0.00858
28.0,1.3475,0.01069,0.0144
29.0,1.3475,0.01145,0.01544
30.0,1.1858,0.01078,0.01278
31.0,1.2397,0.01203,0.01491
32.0,0.9702,0.01002,0.00972
33.0,1.1319,0.01243,0.01407
34.0,1.0241,0.01193,0.01222
35.0,1.1858,0.01463,0.01735
36.0,0.9702,0.01266,0.01228
37.0,1.078,0.01486,0.01601
38.0,1.0241,0.01488,0.01524
39.0,1.0241,0.01567,0.01605
40.0,0.9163,0.01474,0.01351
41.0,0.8085,0.01366,0.01105
42.0,0.7007,0.01242,0.00871
43.0,0.7007,0.01302,0.00912
44.0,0.6468,0.01258,0.00814
45.0,0.9163,0.01864,0.01708
46.0,0.8624,0.01833,0.01581
47.0,0.5929,0.01315,0.0078
48.0,0.5929,0.01371,0.00813
49.0,0.539,0.01299,0.007
50.0,0.6468,0.01623,0.0105
51.0,0.4851,0.01266,0.00614
52.0,0.539,0.01462,0.00788
53.0,0.3773,0.01063,0.00401
54.0,0.4851,0.01419,0.00688
55.0,0.4312,0.01308,0.00564
56.0,0.4312,0.01356,0.00585
57.0,0.4312,0.01405,0.00606
58.0,0.4312,0.01454,0.00627
59.0,0.2695,0.00941,0.00253
60.0,0.3234,0.01167,0.00377
61.0,0.3234,0.01206,0.0039
62.0,0.3234,0.01246,0.00403
63.0,0.2695,0.01072,0.00289
64.0,0.1617,0.00664,0.00107
65.0,0.2695,0.01141,0.00308
66.0,0.1078,0.00471,0.00051
67.0,0.1078,0.00485,0.00052
68.0,0.1078,0.00499,0.00054
69.0,0.1617,0.00771,0.00125
70.0,0.1078,0.00529,0.00057
71.0,0.0539,0.00272,0.00015
72.0,0.0539,0.0028,0.00015
73.0,0.0539,0.00288,0.00016
74.0,0.0539,0.00296,0.00016
75.0,0.0,0.0,0.0
76.0,0.0539,0.00312,0.00017
77.0,0.0539,0.0032,0.00017
78.0,0.0,0.0,0.0
79.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0
81.0,0.0,0.0,0.0
82.0,0.0,0.0,0.0
83.0,0.0,0.0,0.0
84.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0
86.0,0.0,0.0,0.0
87.0,0.0,0.0,0.0
88.0,0.0,0.0,0.0
89.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0
0.0,9.6481,0.00088,0.00846
1.0,9.2169,0.00093,0.00857
2.0,6.7375,0.00088,0.00594
3.0,3.9347,0.00071,0.0028
4.0,2.9106,0.00073,0.00213
5.0,2.8567,0.00097,0.00278
6.0,2.4794,0.00112,0.00277
7.0,2.5333,0.00147,0.00373
8.0,2.4794,0.00181,0.00449
9.0,2.5872,0.00233,0.00603
10.0,2.4794,0.0027,0.00671
11.0,2.4255,0.00316,0.00765
12.0,1.9404,0.00297,0.00576
13.0,2.2638,0.00403,0.00913
14.0,2.2638,0.00464,0.01051
15.0,2.2099,0.00517,0.01143
16.0,2.0482,0.00543,0.01112
17.0,1.9943,0.00594,0.01186
18.0,1.9404,0.00646,0.01254
19.0,1.9943,0.00738,0.01472
20.0,1.8326,0.0075,0.01374
21.0,1.7248,0.00776,0.01339
22.0,1.5631,0.00771,0.01205
23.0,1.5092,0.00812,0.01226
24.0,1.4014,0.0082,0.01149
25.0,1.3475,0.00854,0.01151
26.0,1.3475,0.00923,0.01244
27.0,1.4014,0.01034,0.0145
28.0,1.2936,0.01026,0.01327
