voltage_oc,power_mpp,duty_mpp
16.4395,0.85096,45.0
16.4395,0.94057,43.0
16.4395,0.8394,40.0
16.4395,0.80447,41.0
16.3856,0.84262,41.0
16.3856,0.80395,38.0
16.3317,0.80275,34.0
16.3317,0.82742,38.0
16.3856,0.7964,33.0
16.3317,0.77475,35.0
10.8878,0.04232,43.0
10.7261,0.0331,38.0
10.6722,0.03241,39.0
10.4027,0.02758,23.0
10.0793,0.02292,22.0
9.7559,0.02352,39.0
9.3786,0.01913,26.0
9.0552,0.01766,37.0
8.8935,0.01791,34.0
8.8396,0.01688,33.0
7.4382,0.00768,32.0
7.2765,0.00763,30.0
7.2765,0.00677,37.0
6.9531,0.00675,32.0
6.7375,0.00588,32.0
6.6297,0.00487,34.0
6.468,0.00507,32.0
6.1985,0.0038,30.0
6.1446,0.00434,35.0
6.1446,0.00386,33.0
8.0311,0.20112,41.0
7.1687,0.00817,33.0
6.1446,0.0042,27.0
5.929,0.00341,31.0
6.1985,0.00434,35.0
6.7375,0.00608,38.0
5.4439,9e-05,56.0
6.1985,0.00434,35.0
8.8935,0.01544,33.0
9.4864,0.01689,38.0
8.0311,0.01138,39.0
11.1034,0.03898,25.0
10.9956,0.04597,38.0
10.9956,0.04272,39.0
10.8339,0.03408,40.0
10.78,0.04057,38.0
10.78,0.03485,39.0
10.7261,0.03566,25.0
10.7261,0.0355,38.0
10.6722,0.03258,31.0
10.5105,0.03799,38.0
8.4623,0.25684,38.0
8.6779,0.27689,44.0
8.624,0.28548,46.0
8.3006,0.26084,46.0
8.1928,0.25288,46.0
8.1928,0.26084,46.0
8.1389,0.24232,43.0
8.1928,0.24504,46.0
8.1389,0.23565,40.0
8.3006,0.24961,43.0
13.9062,0.17094,44.0
14.7686,0.23854,31.0
15.1459,0.30548,34.0
13.5828,0.14041,43.0
13.2055,0.1094,44.0
12.2892,0.07438,42.0
13.2594,0.09981,43.0
14.553,0.2562,34.0
15.4154,0.38779,35.0
14.2296,0.18731,32.0
9.9176,0.35475,41.0
14.9303,0.27478,30.0
14.8764,0.26295,40.0
14.7686,0.25241,42.0
14.553,0.20931,33.0
14.6069,0.23565,40.0
14.6608,0.24903,31.0
14.8225,0.26418,33.0
15.4154,0.38589,29.0
15.7927,0.48444,37.0
15.8466,0.53937,28.0
7.2765,0.18389,38.0
7.3843,0.20059,46.0
7.546,0.19711,50.0
6.468,0.13277,41.0
5.0127,0.05811,32.0
4.312,0.05052,47.0
4.0964,0.0454,43.0
4.4198,0.05419,47.0
3.8808,0.03755,42.0
4.2042,0.0488,38.0
12.1275,0.0711,40.0
12.1275,0.0675,40.0
12.0197,0.058,47.0
11.6963,0.05294,32.0
11.4807,0.04841,39.0
11.2651,0.04858,43.0
11.2112,0.04272,39.0
11.319,0.04636,42.0
11.6963,0.05275,42.0
12.5048,0.08246,40.0
11.858,0.05549,32.0
11.6424,0.0495,42.0
11.2112,0.04069,25.0
10.9956,0.03406,25.0
10.9956,0.03849,41.0
10.8339,0.04057,38.0
10.6722,0.0355,38.0
10.3488,0.02628,23.0
10.1871,0.02706,37.0
9.8637,0.02764,36.0
