duty,voltage,current,power
0.0,15.9544,0.00145,0.02314
1.0,15.7388,0.00159,0.025
2.0,14.9842,0.00196,0.02939
3.0,14.0679,0.00255,0.0358
4.0,12.2892,0.00308,0.03789
5.0,11.3729,0.00388,0.04409
6.0,11.0495,0.00498,0.05505
7.0,10.9956,0.00639,0.07023
8.0,10.1332,0.00741,0.07505
9.0,10.8878,0.00981,0.1068
10.0,10.7261,0.0117,0.12551
11.0,10.0254,0.01304,0.13075
12.0,10.7261,0.01642,0.17613
13.0,9.702,0.01728,0.16763
14.0,9.6481,0.01979,0.19091
15.0,8.9474,0.02095,0.1874
16.0,9.8098,0.026,0.2551
17.0,9.0013,0.02683,0.24152
18.0,9.1091,0.03034,0.27638
19.0,9.6481,0.03571,0.3445
20.0,8.5162,0.03484,0.2967
21.0,8.5701,0.03857,0.33058
22.0,8.3006,0.04093,0.33974
23.0,8.4084,0.04524,0.38044
24.0,8.8935,0.05204,0.46277
25.0,8.5701,0.05434,0.46572
26.0,8.1389,0.05576,0.45382
27.0,7.7077,0.05689,0.43849
28.0,7.1148,0.05643,0.40147
29.0,7.2226,0.0614,0.44346
30.0,7.0609,0.06419,0.45324
31.0,7.2765,0.07059,0.51364
32.0,7.2765,0.07517,0.547
33.0,6.5758,0.07221,0.47483
34.0,6.4141,0.07473,0.47933
35.0,5.6595,0.06984,0.39528
36.0,6.3063,0.0823,0.51903
37.0,4.9588,0.06834,0.33887
38.0,6.2524,0.09085,0.56805
39.0,5.5517,0.08495,0.4716
40.0,4.7432,0.07632,0.36201
41.0,5.0127,0.08472,0.42467
42.0,5.3361,0.09461,0.50487
43.0,4.7432,0.08813,0.41803
44.0,4.5276,0.08807,0.39873
45.0,3.9347,0.08004,0.31492
46.0,4.3659,0.09278,0.40507
47.0,4.5276,0.10043,0.45469
48.0,3.9886,0.09226,0.36799
49.0,3.8269,0.09223,0.35296
50.0,4.0425,0.10143,0.41003
51.0,3.5035,0.09144,0.32038
52.0,3.8808,0.10529,0.40861
53.0,3.6113,0.10177,0.36752
54.0,3.234,0.0946,0.30593
55.0,2.8567,0.08667,0.2476
56.0,3.0184,0.09493,0.28654
57.0,3.0184,0.09834,0.29684
58.0,2.6411,0.08909,0.23529
59.0,2.7489,0.09594,0.26373
60.0,2.7489,0.09921,0.27272
61.0,2.1021,0.07841,0.16483
62.0,2.2099,0.08515,0.18817
63.0,2.1021,0.08362,0.17578
64.0,1.9943,0.08187,0.16327
65.0,1.6709,0.07075,0.11821
66.0,2.1021,0.09176,0.19289
67.0,1.2936,0.05819,0.07527
68.0,1.6709,0.07741,0.12935
69.0,1.2397,0.05913,0.07331
70.0,1.0241,0.05027,0.05149
71.0,1.7248,0.0871,0.15024
72.0,1.2397,0.06438,0.07981
73.0,0.9163,0.04891,0.04482
74.0,0.9702,0.05322,0.05163
75.0,0.7546,0.04251,0.03208
76.0,0.8624,0.04989,0.04303
77.0,0.8085,0.04801,0.03882
78.0,0.4851,0.02956,0.01434
79.0,0.6468,0.04043,0.02615
80.0,0.4312,0.02764,0.01192
81.0,0.1617,0.01062,0.00172
82.0,0.4312,0.02903,0.01252
83.0,0.2695,0.01859,0.00501
84.0,0.3773,0.02666,0.01006
85.0,0.1617,0.0117,0.00189
86.0,0.1078,0.00798,0.00086
87.0,0.2156,0.01634,0.00352
88.0,0.1617,0.01254,0.00203
89.0,0.1617,0.01282,0.00207
90.0,0.0539,0.00437,0.00024
0.0,15.9005,0.00145,0.02298
1.0,15.7388,0.00159,0.025
2.0,14.8225,0.00194,0.02876
3.0,13.9062,0.00252,0.03498
4.0,12.3431,0.0031,0.03823
5.0,11.2112,0.00382,0.04285
6.0,11.5346,0.0052,0.05999
7.0,10.9956,0.00639,0.07023
8.0,10.2949,0.00752,0.07747
9.0,10.0793,0.00908,0.09153
10.0,10.8339,0.01182,0.12804
11.0,10.0793,0.01311,0.13216
12.0,10.9417,0.01675,0.18328
13.0,9.5942,0.01709,0.16393
14.0,9.7559,0.02001,0.1952
15.0,9.4325,0.02208,0.20828
16.0,9.4325,0.025,0.23586
17.0,9.0013,0.02683,0.24152
18.0,8.8935,0.02962,0.26346
19.0,8.4084,0.03112,0.26166
20.0,8.8935,0.03638,0.32357
21.0,8.4084,0.03785,0.31822
22.0,8.3545,0.0412,0.34417
23.0,8.3545,0.04495,0.37557
24.0,7.7616,0.04541,0.35247
25.0,7.9772,0.05058,0.40351
26.0,7.7616,0.05317,0.41272
27.0,7.5999,0.05609,0.42631
28.0,7.5999,0.06027,0.45808
29.0,7.3843,0.06277,0.46354
30.0,6.1985,0.05635,0.34929
31.0,6.7375,0.06536,0.44036
32.0,7.2226,0.07462,0.53892
33.0,7.1148,0.07813,0.55586
34.0,6.5219,0.07599,0.49557
35.0,6.468,0.07982,0.51628
36.0,5.9829,0.07808,0.46716
37.0,5.8212,0.08022,0.46699
38.0,5.7673,0.0838,0.48332
39.0,5.7134,0.08742,0.49947
40.0,5.1744,0.08326,0.43082
