duty,voltage,current,power
0.0,10.8878,0.00099,0.01078
1.0,10.5644,0.00107,0.01126
2.0,8.624,0.00113,0.00974
3.0,6.0907,0.0011,0.00671
4.0,3.6652,0.00092,0.00337
5.0,3.6113,0.00123,0.00445
6.0,3.3418,0.00151,0.00504
7.0,3.5035,0.00204,0.00713
8.0,3.1262,0.00228,0.00714
9.0,3.5035,0.00316,0.01106
10.0,3.0723,0.00335,0.0103
11.0,3.2879,0.00428,0.01406
12.0,2.8567,0.00437,0.01249
13.0,2.8028,0.00499,0.01399
14.0,3.1262,0.00641,0.02004
15.0,3.0723,0.00719,0.0221
16.0,2.7489,0.00729,0.02003
17.0,2.4794,0.00739,0.01832
18.0,2.5333,0.00844,0.02138
19.0,2.3716,0.00878,0.02082
20.0,2.1021,0.0086,0.01808
21.0,2.156,0.0097,0.02092
22.0,2.3716,0.01169,0.02773
23.0,2.5333,0.01363,0.03453
24.0,1.8326,0.01072,0.01965
25.0,1.9404,0.0123,0.02387
26.0,2.1021,0.0144,0.03027
27.0,1.9404,0.01432,0.02779
28.0,1.8326,0.01453,0.02664
29.0,1.6709,0.0142,0.02373
30.0,1.9943,0.01813,0.03616
31.0,1.8326,0.01778,0.03258
32.0,1.5092,0.01559,0.02353
33.0,1.617,0.01776,0.02871
34.0,1.2936,0.01507,0.0195
35.0,1.5631,0.01929,0.03015
36.0,1.4014,0.01829,0.02563
37.0,1.5631,0.02154,0.03367
38.0,1.1319,0.01645,0.01862
39.0,1.1858,0.01814,0.02151
40.0,1.4553,0.02342,0.03408
41.0,1.3475,0.02277,0.03069
42.0,1.2397,0.02198,0.02725
43.0,1.5092,0.02804,0.04232
44.0,1.0241,0.01992,0.0204
45.0,0.9163,0.01864,0.01708
46.0,0.9163,0.01947,0.01784
47.0,1.0241,0.02272,0.02326
48.0,0.8624,0.01995,0.0172
49.0,0.9163,0.02208,0.02024
50.0,0.8624,0.02164,0.01866
51.0,0.7007,0.01829,0.01282
52.0,0.7007,0.01901,0.01332
53.0,0.7007,0.01975,0.01384
54.0,0.5929,0.01734,0.01028
55.0,0.539,0.01635,0.00881
56.0,0.4851,0.01526,0.0074
57.0,0.7007,0.02283,0.016
58.0,0.539,0.01818,0.0098
59.0,0.4851,0.01693,0.00821
60.0,0.4851,0.01751,0.00849
61.0,0.539,0.02011,0.01084
62.0,0.3234,0.01246,0.00403
63.0,0.4312,0.01715,0.0074
64.0,0.3234,0.01328,0.00429
65.0,0.3773,0.01598,0.00603
66.0,0.2695,0.01176,0.00317
67.0,0.2695,0.01212,0.00327
68.0,0.3773,0.01748,0.0066
69.0,0.2695,0.01286,0.00346
70.0,0.1078,0.00529,0.00057
71.0,0.1078,0.00544,0.00059
72.0,0.1078,0.0056,0.0006
73.0,0.1617,0.00863,0.0014
74.0,0.1078,0.00591,0.00064
75.0,0.1078,0.00607,0.00065
76.0,0.1617,0.00935,0.00151
77.0,0.0539,0.0032,0.00017
78.0,0.1078,0.00657,0.00071
79.0,0.0,0.0,0.0
80.0,0.0539,0.00345,0.00019
81.0,0.0539,0.00354,0.00019
82.0,0.0539,0.00363,0.0002
83.0,0.0,0.0,0.0
84.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0
86.0,0.0,0.0,0.0
87.0,0.0,0.0,0.0
88.0,0.0,0.0,0.0
89.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0
0.0,10.7261,0.00098,0.01046
1.0,10.3488,0.00104,0.01081
2.0,8.2467,0.00108,0.0089
3.0,5.8212,0.00105,0.00613
4.0,3.3418,0.00084,0.0028
5.0,3.234,0.0011,0.00357
6.0,2.9645,0.00134,0.00396
7.0,3.0184,0.00175,0.00529
8.0,3.1801,0.00232,0.00739
9.0,3.1801,0.00286,0.00911
10.0,2.9645,0.00323,0.00959
